mode,target_profile,W_SM_KiB,blocks_per_SM,active_SM,reuse_factor,load_repeat,store_repeat,n_gpu_active,gpu_list,valid,regime,reason,measurement_policy,command
reg_operand_only,rtx3090,64,16,16,1,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,16,1,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,16,2,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,16,2,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,16,4,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,16,4,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,16,8,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,16,8,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 16 --seconds 1.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,32,1,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,32,1,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,32,2,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,32,2,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 2 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,32,4,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,32,4,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 4 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,32,8,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_mma,rtx3090,64,16,32,8,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_mma --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 32 --seconds 1.0 --repeats 1 --reuse-factor 8 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
reg_operand_only,rtx3090,64,16,64,1,1,1,1,0,True,shared_resident,fits shared memory,fixed_iters_regression,./build/a100_fp16_energy_v2 --gpu-list 0 --mode reg_operand_only --w-sm-kib 64 --blocks-per-sm 16 --target-profile rtx3090 --active-sm 64 --seconds 1.0 --repeats 1 --reuse-factor 1 --load-repeat 1 --store-repeat 1 --output results/raw/rtx3090_component_rate_active_sm_20260703.csv --verify-smid 1 --iters 500000
